submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
02/07/2022,PR,465283,262396,202887,262,122,3945,3279,666,1,0,02/08/2022 03:02:12 PM,Agree,Agree
02/07/2022,AL,1251166,907601,343565,3792,1274,17499,13522,3977,3,0,02/09/2022 12:00:00 AM,Agree,Agree
02/09/2022,AL,1256749,911137,345612,2457,979,17502,13525,3977,1,0,02/10/2022 02:57:07 PM,Agree,Agree
02/07/2022,ND,230868,174558,56310,264,127,2130,,,0,0,02/08/2022 03:02:12 PM,Agree,Not agree
02/09/2022,KY,1220703,850087,370616,8017,2878,13216,11577,1639,34,4,02/10/2022 02:57:07 PM,Agree,Agree
02/07/2022,KY,1206071,841135,364936,12288,3845,13156,11526,1630,93,8,02/08/2022 03:02:12 PM,Agree,Agree
02/08/2022,KY,1212686,844948,367738,6615,2802,13182,11547,1635,26,5,02/09/2022 02:50:57 PM,Agree,Agree
02/08/2022,NC,2498957,2104232,394725,1995,526,21325,18695,2630,0,0,02/09/2022 02:50:57 PM,Agree,Agree
02/08/2022,ND,231841,175035,56806,973,496,2139,,,9,0,02/09/2022 02:50:57 PM,Agree,Not agree
02/09/2022,NC,2509470,2111975,397495,10513,2770,21482,18827,2655,157,25,02/10/2022 02:57:07 PM,Agree,Agree
02/08/2022,AL,1254292,909659,344633,3126,1068,17501,13524,3977,2,0,02/10/2022 12:00:00 AM,Agree,Agree
02/07/2022,NC,2496962,2102763,394199,3876,491,21325,18695,2630,9,4,02/07/2022 12:00:00 AM,Agree,Agree
02/09/2022,ND,232723,175490,57233,882,427,2143,,,4,0,02/10/2022 02:57:07 PM,Agree,Not agree
02/09/2022,PR,465809,262596,203213,0,0,3984,3315,669,0,0,02/10/2022 02:57:07 PM,Agree,Agree
02/08/2022,PR,465809,262596,203213,526,326,3984,3315,669,39,3,02/09/2022 02:50:57 PM,Agree,Agree
