submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
10/28/2020,PR,35112,34791,321,619,1,805,624,181,3,0,10/28/2020 12:00:00 AM,Agree,Agree
01/23/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/27/2021,PR,94291,87549,6742,475,88,1789,1512,277,5,0,01/27/2021 12:00:00 AM,Agree,Agree
05/18/2021,PR,138252,121755,16497,91,30,2440,2092,348,2,0,05/18/2021 12:00:00 AM,Agree,Agree
01/11/2022,PR,373671,224324,149347,11528,8318,3421,2895,526,48,20,01/12/2022 03:21:08 PM,Agree,Agree
05/03/2020,PR,853,845,8,0,0,86,37,49,0,0,05/03/2020 12:00:00 AM,Agree,Agree
09/09/2021,PR,175803,146048,29755,689,228,2977,2531,446,17,3,09/09/2021 12:00:00 AM,Agree,Agree
02/29/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
12/07/2021,PR,189061,154620,34441,157,32,3274,2791,483,0,0,12/08/2021 03:02:11 PM,Agree,Agree
04/30/2020,PR,839,831,8,19,0,83,36,47,2,2,04/30/2020 12:00:00 AM,Agree,Agree
08/11/2021,PR,155286,132590,22696,1116,397,2632,2259,373,14,4,08/11/2021 12:00:00 AM,Agree,Agree
12/02/2020,PR,56607,54868,1739,507,49,1157,946,211,19,0,12/02/2020 12:00:00 AM,Agree,Agree
12/08/2020,PR,61508,59286,2222,470,58,1215,994,221,15,1,12/08/2020 12:00:00 AM,Agree,Agree
01/30/2021,PR,95518,88600,6918,602,83,1819,1539,280,3,1,01/30/2021 12:00:00 AM,Agree,Agree
11/29/2021,PR,187999,153934,34065,63,46,3269,2786,483,0,0,11/30/2021 03:29:21 PM,Agree,Agree
05/05/2021,PR,135410,119608,15802,514,103,2344,2005,339,12,2,05/05/2021 12:00:00 AM,Agree,Agree
12/30/2020,PR,79053,74391,4662,750,98,1495,1246,249,10,2,12/30/2020 12:00:00 AM,Agree,Agree
02/03/2022,PR,462543,261141,201402,1533,854,3925,3265,660,17,3,02/04/2022 03:29:18 PM,Agree,Agree
01/30/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
05/16/2021,PR,138137,121674,16463,138,35,2429,2082,347,3,0,05/16/2021 12:00:00 AM,Agree,Agree
06/13/2021,PR,140625,123356,17269,34,13,2518,2164,354,0,0,06/13/2021 12:00:00 AM,Agree,Agree
05/26/2020,PR,1241,1207,34,9,1,119,44,75,2,2,05/26/2020 12:00:00 AM,Agree,Agree
03/23/2020,PR,1,1,0,0,0,1,1,0,1,0,03/23/2020 12:00:00 AM,Agree,Agree
02/26/2021,PR,101484,93421,8063,267,56,2023,1721,302,5,0,02/26/2021 12:00:00 AM,Agree,Agree
09/13/2020,PR,19176,18966,210,252,2,528,371,157,3,0,09/13/2020 12:00:00 AM,Agree,Agree
10/28/2021,PR,184199,151308,32891,151,64,3220,2743,477,2,0,10/28/2021 12:00:00 AM,Agree,Agree
02/20/2021,PR,100394,92572,7822,167,27,1966,1674,292,0,0,02/20/2021 12:00:00 AM,Agree,Agree
06/05/2020,PR,1421,1367,54,19,1,130,46,84,0,0,06/05/2020 12:00:00 AM,Agree,Agree
10/08/2021,PR,182036,150051,31985,113,53,3181,2710,471,3,0,10/08/2021 12:00:00 AM,Agree,Agree
12/06/2021,PR,188904,154495,34409,85,33,3274,2791,483,1,0,12/07/2021 02:35:03 PM,Agree,Agree
10/30/2020,PR,35811,35477,334,414,12,821,634,187,10,3,10/30/2020 12:00:00 AM,Agree,Agree
06/06/2021,PR,140295,123116,17179,68,29,2507,2153,354,1,0,06/06/2021 12:00:00 AM,Agree,Agree
01/16/2021,PR,89240,83145,6095,544,100,1690,1422,268,0,0,01/16/2021 12:00:00 AM,Agree,Agree
02/04/2022,PR,462543,261141,201402,0,0,3925,3265,660,0,0,02/05/2022 02:28:34 PM,Agree,Agree
04/16/2020,PR,600,599,1,54,0,47,23,24,0,0,04/16/2020 12:00:00 AM,Agree,Agree
05/22/2020,PR,1207,1176,31,21,3,115,44,71,1,0,05/22/2020 12:00:00 AM,Agree,Agree
07/20/2020,PR,4728,4634,94,88,0,171,74,97,1,0,07/20/2020 12:00:00 AM,Agree,Agree
06/02/2020,PR,1342,1294,48,9,2,128,46,82,0,0,06/02/2020 12:00:00 AM,Agree,Agree
06/05/2021,PR,140227,123077,17150,75,19,2506,2152,354,1,0,06/05/2021 12:00:00 AM,Agree,Agree
12/14/2021,PR,189835,155164,34671,134,51,3277,2794,483,1,0,12/15/2021 02:52:52 PM,Agree,Agree
06/18/2020,PR,1646,1576,70,11,0,135,47,88,0,0,06/18/2020 12:00:00 AM,Agree,Agree
10/09/2020,PR,27762,27485,277,207,1,719,548,171,5,0,10/09/2020 12:00:00 AM,Agree,Agree
09/22/2020,PR,22367,22133,234,766,2,609,447,162,8,1,09/22/2020 12:00:00 AM,Agree,Agree
08/14/2020,PR,12093,11943,150,176,2,322,198,124,14,2,08/14/2020 12:00:00 AM,Agree,Agree
07/13/2021,PR,142306,124502,17804,118,30,2546,2187,359,3,1,07/13/2021 12:00:00 AM,Agree,Agree
08/09/2020,PR,10479,10339,140,329,1,265,152,113,0,0,08/09/2020 12:00:00 AM,Agree,Agree
06/09/2021,PR,140415,123207,17208,62,12,2514,2160,354,0,0,06/09/2021 12:00:00 AM,Agree,Agree
07/21/2021,PR,143970,125617,18353,434,161,2554,2194,360,1,1,07/21/2021 12:00:00 AM,Agree,Agree
11/24/2020,PR,51123,49808,1315,482,8,1044,841,203,13,0,11/24/2020 12:00:00 AM,Agree,Agree
12/31/2021,PR,272290,190796,81494,0,0,3305,2818,487,0,0,01/01/2022 02:12:51 PM,Agree,Agree
12/24/2021,PR,208028,164961,43067,0,0,3288,2805,483,0,0,12/25/2021 02:11:33 PM,Agree,Agree
07/16/2020,PR,4136,4046,90,363,1,167,72,95,3,0,07/16/2020 12:00:00 AM,Agree,Agree
09/16/2020,PR,20167,19950,217,518,5,580,420,160,14,1,09/16/2020 12:00:00 AM,Agree,Agree
06/07/2020,PR,1434,1379,55,4,0,130,46,84,0,0,06/07/2020 12:00:00 AM,Agree,Agree
09/28/2020,PR,25147,24886,261,198,1,648,484,164,11,1,09/28/2020 12:00:00 AM,Agree,Agree
05/18/2020,PR,1107,1090,17,8,2,113,43,70,1,1,05/18/2020 12:00:00 AM,Agree,Agree
02/01/2022,PR,459204,259556,199648,1703,1056,3887,3238,649,32,5,02/02/2022 03:18:51 PM,Agree,Agree
11/26/2020,PR,53522,52068,1454,908,52,1062,855,207,0,0,11/26/2020 12:00:00 AM,Agree,Agree
11/03/2020,PR,37515,37128,387,319,10,839,650,189,2,0,11/03/2020 12:00:00 AM,Agree,Agree
12/20/2020,PR,72151,68494,3657,1029,109,1370,1140,230,14,0,12/20/2020 12:00:00 AM,Agree,Agree
07/16/2021,PR,142866,124879,17987,176,50,2548,2189,359,0,0,07/16/2021 12:00:00 AM,Agree,Agree
08/06/2021,PR,151729,130320,21409,452,302,2595,2229,366,8,0,08/06/2021 12:00:00 AM,Agree,Agree
11/07/2021,PR,185243,151945,33298,67,31,3236,2755,481,0,0,11/07/2021 12:00:00 AM,Agree,Agree
03/21/2020,PR,0,0,0,0,0,0,0,0,0,0,03/21/2020 12:00:00 AM,Agree,Agree
06/29/2020,PR,1915,1836,79,35,0,141,49,92,0,0,06/29/2020 12:00:00 AM,Agree,Agree
09/09/2020,PR,18252,18048,204,145,3,499,344,155,12,0,09/09/2020 12:00:00 AM,Agree,Agree
12/15/2021,PR,190306,155446,34860,471,189,3278,2795,483,1,0,12/16/2021 03:10:47 PM,Agree,Agree
02/28/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/26/2020,PR,766,760,6,0,0,74,34,40,1,1,11/18/2021 03:41:51 PM,Agree,Agree
07/26/2021,PR,145444,126547,18897,119,47,2557,2197,360,1,0,07/26/2021 12:00:00 AM,Agree,Agree
08/21/2020,PR,14307,14137,170,193,1,376,244,132,15,4,08/21/2020 12:00:00 AM,Agree,Agree
06/14/2020,PR,1574,1507,67,9,0,135,47,88,0,0,06/14/2020 12:00:00 AM,Agree,Agree
10/01/2020,PR,26020,25753,267,309,2,669,504,165,12,0,10/01/2020 12:00:00 AM,Agree,Agree
03/19/2020,PR,0,0,0,0,0,0,0,0,0,0,03/19/2020 12:00:00 AM,Agree,Agree
04/08/2020,PR,383,383,0,76,0,22,13,9,1,0,04/08/2020 12:00:00 AM,Agree,Agree
08/15/2021,PR,159395,135326,24069,646,201,2656,2280,376,5,0,08/15/2021 12:00:00 AM,Agree,Agree
02/05/2021,PR,97096,89915,7181,468,57,1865,1581,284,10,2,02/05/2021 12:00:00 AM,Agree,Agree
04/12/2021,PR,118716,106694,12022,958,162,2157,1837,320,11,1,04/12/2021 12:00:00 AM,Agree,Agree
11/23/2020,PR,50641,49334,1307,212,46,1031,828,203,13,1,11/23/2020 12:00:00 AM,Agree,Agree
04/11/2021,PR,117758,105898,11860,1092,247,2146,1827,319,2,0,04/11/2021 12:00:00 AM,Agree,Agree
06/06/2020,PR,1430,1375,55,9,1,130,46,84,0,0,06/06/2020 12:00:00 AM,Agree,Agree
12/08/2021,PR,189226,154721,34505,165,64,3274,2791,483,0,0,12/09/2021 02:45:23 PM,Agree,Agree
04/04/2020,PR,233,233,0,16,0,10,10,0,2,0,04/04/2020 12:00:00 AM,Agree,Agree
06/17/2021,PR,140850,123510,17340,92,34,2527,2171,356,0,0,06/17/2021 12:00:00 AM,Agree,Agree
04/04/2021,PR,111425,101254,10171,193,67,2121,1804,317,1,0,04/04/2021 12:00:00 AM,Agree,Agree
06/30/2020,PR,1958,1878,80,43,1,141,49,92,0,0,06/30/2020 12:00:00 AM,Agree,Agree
08/20/2020,PR,14114,13945,169,303,7,361,233,128,2,0,08/20/2020 12:00:00 AM,Agree,Agree
10/05/2020,PR,26626,26355,271,24,0,689,521,168,4,0,10/05/2020 12:00:00 AM,Agree,Agree
08/17/2020,PR,13254,13099,155,100,2,333,208,125,11,1,08/17/2020 12:00:00 AM,Agree,Agree
04/24/2020,PR,759,753,6,30,1,73,34,39,2,1,11/18/2021 03:41:51 PM,Agree,Agree
05/27/2021,PR,139599,122652,16947,133,40,2485,2133,352,6,0,05/27/2021 12:00:00 AM,Agree,Agree
06/16/2020,PR,1586,1519,67,9,0,135,47,88,0,0,06/16/2020 12:00:00 AM,Agree,Agree
04/20/2020,PR,663,661,2,20,0,53,27,26,2,0,04/20/2020 12:00:00 AM,Agree,Agree
10/13/2020,PR,29024,28734,290,339,3,732,560,172,5,0,10/13/2020 12:00:00 AM,Agree,Agree
10/12/2021,PR,182504,150336,32168,168,94,3191,2717,474,5,3,10/12/2021 12:00:00 AM,Agree,Agree
09/20/2020,PR,21601,21369,232,39,0,595,434,161,1,0,09/20/2020 12:00:00 AM,Agree,Agree
02/05/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/03/2021,PR,140089,122971,17118,83,32,2504,2150,354,1,0,06/03/2021 12:00:00 AM,Agree,Agree
02/07/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/01/2021,PR,80111,75356,4755,253,19,1515,1262,253,0,0,01/01/2021 12:00:00 AM,Agree,Agree
12/24/2020,PR,74683,70788,3895,1042,73,1421,1186,235,9,1,12/24/2020 12:00:00 AM,Agree,Agree
07/03/2020,PR,2258,2175,83,59,0,143,50,93,1,1,07/03/2020 12:00:00 AM,Agree,Agree
03/01/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
01/31/2022,PR,457501,258909,198592,878,404,3855,3211,644,1,0,02/01/2022 02:22:23 PM,Agree,Agree
07/14/2021,PR,142486,124618,17868,180,64,2548,2189,359,2,0,07/14/2021 12:00:00 AM,Agree,Agree
12/04/2021,PR,188673,154338,34335,0,0,3272,2789,483,0,0,12/06/2021 01:50:49 PM,Agree,Agree
01/26/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
09/25/2020,PR,23890,23646,244,530,4,633,470,163,7,0,09/25/2020 12:00:00 AM,Agree,Agree
09/13/2021,PR,176984,146878,30106,54,14,3027,2574,453,33,3,09/13/2021 12:00:00 AM,Agree,Agree
06/19/2020,PR,1662,1589,73,16,3,137,47,90,2,2,06/19/2020 12:00:00 AM,Agree,Agree
07/26/2020,PR,6136,6028,108,195,4,190,90,100,1,0,07/26/2020 12:00:00 AM,Agree,Agree
03/25/2020,PR,1,1,0,0,0,1,1,0,0,0,03/25/2020 12:00:00 AM,Agree,Agree
02/22/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
12/05/2020,PR,59610,57715,1895,928,38,1181,967,214,0,0,12/05/2020 12:00:00 AM,Agree,Agree
02/19/2021,PR,100227,92432,7795,252,45,1966,1674,292,24,0,02/19/2021 12:00:00 AM,Agree,Agree
01/20/2022,PR,427575,244619,182956,0,0,3593,3019,574,30,7,01/21/2022 02:36:23 PM,Agree,Agree
03/12/2020,PR,0,0,0,0,0,0,0,0,0,0,03/12/2020 12:00:00 AM,Agree,Agree
05/27/2020,PR,1264,1227,37,23,3,119,44,75,0,0,05/27/2020 12:00:00 AM,Agree,Agree
07/28/2020,PR,6504,6394,110,257,1,200,98,102,3,0,07/28/2020 12:00:00 AM,Agree,Agree
08/18/2020,PR,13382,13224,158,128,3,345,220,125,12,0,08/18/2020 12:00:00 AM,Agree,Agree
08/13/2020,PR,11917,11769,148,327,2,308,186,122,12,3,08/13/2020 12:00:00 AM,Agree,Agree
05/02/2020,PR,853,845,8,3,0,86,37,49,2,2,05/02/2020 12:00:00 AM,Agree,Agree
02/08/2021,PR,97727,90411,7316,102,16,1880,1595,285,5,1,02/08/2021 12:00:00 AM,Agree,Agree
08/03/2021,PR,149189,128856,20333,361,162,2579,2216,363,5,1,08/03/2021 12:00:00 AM,Agree,Agree
08/17/2021,PR,159998,135716,24282,261,113,2682,2301,381,10,3,08/17/2021 12:00:00 AM,Agree,Agree
05/14/2021,PR,137685,121333,16352,229,51,2423,2076,347,11,1,05/14/2021 12:00:00 AM,Agree,Agree
01/04/2022,PR,312748,204321,108427,7763,5251,3324,2830,494,6,3,01/05/2022 04:16:33 PM,Agree,Agree
01/14/2022,PR,398333,233039,165294,0,0,3473,2928,545,0,0,01/15/2022 02:59:30 PM,Agree,Agree
05/17/2020,PR,1099,1084,15,3,0,112,43,69,0,0,05/17/2020 12:00:00 AM,Agree,Agree
11/30/2021,PR,188014,153946,34068,15,3,3270,2787,483,1,0,12/01/2021 03:57:34 PM,Agree,Agree
09/25/2021,PR,180280,149013,31267,213,70,3122,2659,463,1,0,09/25/2021 12:00:00 AM,Agree,Agree
08/27/2020,PR,15824,15641,183,250,2,413,275,138,8,2,08/27/2020 12:00:00 AM,Agree,Agree
11/19/2021,PR,187321,153508,33813,225,41,3261,2778,483,1,0,11/20/2021 02:50:36 PM,Agree,Agree
01/03/2021,PR,81132,76286,4846,405,12,1544,1290,254,10,0,01/03/2021 12:00:00 AM,Agree,Agree
11/12/2021,PR,186450,152900,33550,264,80,3257,2774,483,3,1,11/13/2021 02:31:27 PM,Agree,Agree
08/15/2020,PR,12544,12394,150,451,0,322,198,124,0,0,08/15/2020 12:00:00 AM,Agree,Agree
09/27/2020,PR,24949,24689,260,0,0,637,474,163,4,0,09/27/2020 12:00:00 AM,Agree,Agree
10/15/2020,PR,29386,29095,291,140,1,747,574,173,3,0,10/15/2020 12:00:00 AM,Agree,Agree
01/19/2022,PR,427575,244619,182956,4354,2707,3563,2996,567,0,0,01/20/2022 03:22:04 PM,Agree,Agree
07/29/2021,PR,146582,127226,19356,499,172,2568,2207,361,2,1,07/29/2021 12:00:00 AM,Agree,Agree
03/20/2020,PR,0,0,0,0,0,0,0,0,0,0,03/20/2020 12:00:00 AM,Agree,Agree
